location,count
Denver,19
Chile,19
Limoges,19
Tucuman,19
Inner Mongolia,19
Connecticut,19
Polar regions,19
מערב סהרה,19
طاجيكستان,19
البوسنة والهرسك,19
Tarquinia,19
Bahia (State),19
פרובידנס,19
עין חרוד,19
Jerusalem Region,19
Meghalaya,19
اللد,19
Cluj-Napoca,19
كوبا,19
"בוהמיה ומורביה (פרוטקטורט, 1939-1945)",19
מזרח אסיה,19
Krefeld,19
חוף צפוני-מערבי של אמריקה הצפונית,19
Warsaw,19
Estonia,19
أفغانستان,19
טריפולי,19
פרנקפורט,19
סמואה,19
San Lorenzo del Escorial,19
Sahel,19
אוסקה,19
לייקווד,19
Chad,19
מרטיניק,19
אירלנד,19
טטרסטן,19
Tel Aviv-Yafo Metropolitan Area,19
לורסתאן,19
الخليج الفارسي,19
Kiev,19
South Sudan,19
בורקינה פסו,19
Yukon,19
מקדוניה (רפובליקה),19
הפנס,19
Australia,19
San'a,19
Franconia,19
اليمن، جنوب,19
לס וגס,19
"Africa, West",19
Gordion (Extinct city),19
Pavia,19
Beaufort Sea,19
אשור (עיר קדומה),19
Gibraltar,19
ניו הייבן,19
برلين,19
Hamptons,19
Hong Kong,19
"Africa, French-speaking Equatorial",19
אזור מטרופולי שיקגו,19
סטפורדשייר,19
Alps,19
ויילס הדרומית,19
סיאטל,19
Minsk,19
Red Sea Region,19
Bogazkoy,19
ג'רזי,19
רוהטין,19
אזור לוד,19
בוליביה,19
לנגדוק,19
مرج بن عامر,19
אתר חסנלו,19
بوليفيا,19
"מצדה, אתר",19
ליבוניה,19
מסניאה,19
Mindanao Island,19
Cologne,19
Bursa,19
Limousin,19
דקוטה הדרומית,19
Iberian Peninsula,19
Safed,19
פרובאנס,19
שנחאי,19
قبرص,19
Kalisz,19
West Yorkshire,19
טיבט (מחוז אוטונומי),19
"עמק נהר סנטה קלרה (מחוז סנטה קלרה, קליפורניה)",19
הימצ'אל פראדש,19
Melbourne (Vic.),19
נאפולי,19
אלג'יריה,19
איטליה המרכזית,19
Bihar,19
Sierra Leone,19
מונסראט,19
Congo (Democratic Republic),19
"אפריקה, דוברי אנגלית",19
פשמישל,19
זגרב,19
Aceh,19
הים הצפוני,19
גאליה (אזור),19
Stuttgart,19
Poznan,19
ברטאן,19
Former Soviet republics,19
אפריקה המזרחית,19
מינסטר בוסטפליה,19
סנטה קטרינה (מדינה),19
"Africa, Eastern",19
גואה (מדינה),19
Haiti,19
Trier,19
בני ברק,19
סודאן,19
Prairie Provinces,19
كابول,19
Montreal,19
קפדוקיה,19
עמק הירדן,19
אזור הים הבלטי,19
Avignon,19
Samoan Islands,19
Weimar (Thuringia),19
Essaouira,19
צרפת החדשה,19
אלניה,19
