manuscript_id,dates,locations,persons
"""990001188700205171""","תי""ג | manuscript production date | new data, תי""ד | manuscript production date | new data","דמשק | active in | new data, ירושלים | active in | new data, סאדאגורא | resided in | new data","רפאל קאפיו | scribe | 700$a, חיים וויטאל | author | 100$a, יעקב צמח | editor | new data, נחום דובער פרידמאן | owner | 700$a"
"""990001780340205171""","ת""ה | calendar coverage | new data, תצ""א | calendar coverage | new data, אתתקנ""ד | calendar coverage | new data, ת""ג | manuscript production date | new data, תנ""ב | calendar coverage | new data, תקכ""ט | calendar coverage | new data","מונטריאול | owned in | new data, ואטיקן | acquired in | new data","יצחק | author | 700$a, האיי גאון | author | new data"
"""990001343040205171""","תכ""א | manuscript production date | new data, תרמ""ד | manuscript production date | new data",לונדון | owned in | new data,
"""990001084690205171""","תנ""ב | manuscript production date | new data",קרפנטרץ | produced in | new data,"יחיאל מיכל זקש | owner | 700$a, זבולון כרמי | owner | 700$a, שלמה ברוק | owner | 700$a"
"""990001273190205171""",,אפגניסטן | custom of | new data,"פנחס חכירי | author | 700$a, דוד | author | 700$a"
"""990000688750205171""","נ'ש'ב'ע'ה' | manuscript production date | new data, כה""י | donation date | new data",ספרית אוניברסיטת בר אילן | donated in | new data,"ראובן אמארילייו | scribe | 700$a, בנימין | editor | 700$a, אלישע גוואשטלה | editor | 700$a, חיים ויטל | author | 100$a, אברהם נחמיאש | donor | 700$a, יוסף נחמיאש | recipient | 100$a; 700$a"
"""990000533850205171""","ה' אלול תלד | manuscript production date | new data, כד אלול תלד | manuscript production date | new data, תקל""ח | acquisition date | new data",מץ | active in | new data,"ליב | owner | 700$a, אברהם | father | 700$a, נתן נטע | author | 100$a; 700$a, משה הנובר | father | 100$a; 700$a, לייזר לאנדסהוטה | commentator | new data, נתן | owner | 100$a; 700$a, אברהם | father | 700$a, שמעון | owner | 700$a, יוסף | father | 700$a, זלמן | owner | 700$a, משה מאיר | donor | 100$a; 700$a, יהודה ליב | owner | 700$a, גימפל בייזיג | owner | 700$a"
"""990000655210205171""","תתי""ב | manuscript production date | new data, טבת'א | manuscript production date | new data",ויניציאה | produced in | new data,"אהרן | scribe | 700$a, יעקב צמח | editor | 700$a, משה זכות | annotator | 700$a"
"""990000958680205171""","1569 | printing date | new data, 1540 | printing date | new data, 1294 | manuscript production date | new data, 1597 | censoring date | new data","אנטוורפן | printed in | new data, באשיליאה | printed in | new data, אורבינו | produced in | new data, ויניציאה | resided in | new data, וולטירא | owned in | new data","ג'ובני יונה | author | 100$a, ג'וליו מורושיני | scribe | 700$a, שמואל | scribe | new data, אינוצינצו י""א | censor | new data, מנחם | owner | new data, פדריקו מאורבינו | owner | new data, דומניקו אירוסולומיטנו | censor | new data"
"""990001338440205171""",,,"זכריא | scribe | new data, שלמה בן יצחק | commentator | 100$a; 700$a"
"""990025916610205171""","אתתק""ל | manuscript production date | new data",תנעם | active in | new data,"אהרן | commissioner | 700$a, אבא | scribe | 700$a"
"""990000558270205171""",,,"משה | extracted_person | 700$a, יוסף | extracted_person | 100$a, שלמה | extracted_person | new data, יצחק | extracted_person | 700$a"
"""990001313900205171""","אתתקפ""ז | manuscript production date | new data","בירא דמיא | produced in | new data, ירושלים | acquired in | new data","זכריא | scribe | new data, יעקוב | commissioner | new data, שלמה בן יצחק | author | 100$a; 700$a, בנימין ריצ'לר | cataloger | new data"
"""990000893610205171""","תט""ו | manuscript production date | new data",רייו | produced in | new data,"ישראל | scribe | 700$a, טוביה לינגו | scribe | 700$a, אלישע גליקו | editor | 700$a, חיים ויטל | author | 100$a, אלישע גוושטלה | editor | 700$a, בנימין הלוי | editor | new data, פרנציקו דאיסטי | ruler | new data"
"""990001078470205171""","1620 | censoring date | new data, שעז | manuscript production date | new data","מודינא | mentioned in | new data, ניו יורק | owned in | new data",
"""990002078620205171""","ת""י-תנ""ג | manuscript production date | new data",,
"""990000792030205171""",טו למנחם צ'ה'ל'י' ו'ר'נ'י' ה' ושבת ציון | manuscript production date | new data,"עיר ברזל הקרובה לעיר וינה שבמדינת הגריאה | produced in | new data, קנדיה | active in | new data, פראג | active in | new data, פורטוגאל | resided in | new data, הולנדה | resided in | new data, ראטרדאם | active in | new data, אמשטרדם | active in | new data","פנחס | author | new data, כלכל | author | new data, פנחס אלקנאה | author | new data, כלאב | author | new data, יששכר | author | 700$a, יאודה ליב ייטליש | judge | new data"
"""990001625570205171""","תמוז שס""ד | manuscript production date | new data, אב שס""ד | manuscript production date | new data",וורמיזא | active in | new data,"יעקב | scribe | 700$a, אליעזר | owner | 700$a, וולף | owner | 700$a"
"""990000633510205171""",,"גאליפולי | unclassified | new data, מרודיש | unclassified | new data, קושטאנדינה | unclassified | new data","רפאל | extracted_person | 700$a, משה | extracted_person | 100$a, משה | extracted_person | 100$a, יוסף | extracted_person | 700$a"
"""990001785380205171""","תמ""ו | manuscript production date | new data","פוסאנו | produced in | new data, מנטובה | owned in | new data","שמואל דוד אוטולינגו | scribe | 700$a, יחיאל | rabbi | 700$a, משה | author | 100$a, מרדכי זכות | rabbi | 100$a, משה זכות | editor | 100$a, רפאל חי | owner | 700$a, יששכר חי | owner | 700$a"
