manuscript_id,event_type,event_class,date,place,actor,has_temporal_info,has_spatial_info
"""990001188700205171""",manuscript production,E7_Activity,"תי""ג",,,True,False
"""990001188700205171""",manuscript production,E7_Activity,"תי""ד",,,True,False
"""990001188700205171""",active,E7_Activity,,דמשק,,False,True
"""990001188700205171""",active,E7_Activity,,ירושלים,,False,True
"""990001188700205171""",resided,E7_Activity,,סאדאגורא,,False,True
"""990001780340205171""",calendar coverage,E7_Activity,"ת""ה",,,True,False
"""990001780340205171""",calendar coverage,E7_Activity,"תצ""א",,,True,False
"""990001780340205171""",calendar coverage,E7_Activity,"אתתקנ""ד",,,True,False
"""990001780340205171""",manuscript production,E7_Activity,"ת""ג",,,True,False
"""990001780340205171""",calendar coverage,E7_Activity,"תנ""ב",,,True,False
"""990001780340205171""",calendar coverage,E7_Activity,"תקכ""ט",,,True,False
"""990001780340205171""",owned,E7_Activity,,מונטריאול,,False,True
"""990001780340205171""",acquired,E7_Activity,,ואטיקן,,False,True
"""990001343040205171""",manuscript production,E7_Activity,"תכ""א",,,True,False
"""990001343040205171""",manuscript production,E7_Activity,"תרמ""ד",,,True,False
"""990001343040205171""",owned,E7_Activity,,לונדון,,False,True
"""990001084690205171""",manuscript production,E7_Activity,"תנ""ב",,,True,False
"""990001084690205171""",produced,E7_Activity,,קרפנטרץ,,False,True
"""990001273190205171""",custom of,E7_Activity,,אפגניסטן,,False,True
"""990000688750205171""",manuscript production,E7_Activity,נ'ש'ב'ע'ה',,,True,False
"""990000688750205171""",donation,E7_Activity,"כה""י",,,True,False
"""990000688750205171""",donated,E7_Activity,,ספרית אוניברסיטת בר אילן,,False,True
"""990000533850205171""",manuscript production,E7_Activity,ה' אלול תלד,,,True,False
"""990000533850205171""",manuscript production,E7_Activity,כד אלול תלד,,,True,False
"""990000533850205171""",acquisition,E7_Activity,"תקל""ח",,,True,False
"""990000533850205171""",active,E7_Activity,,מץ,,False,True
"""990000655210205171""",manuscript production,E7_Activity,"תתי""ב",,,True,False
"""990000655210205171""",manuscript production,E7_Activity,טבת'א,,,True,False
"""990000655210205171""",produced,E7_Activity,,ויניציאה,,False,True
"""990000958680205171""",printing,E7_Activity,1569,,,True,False
"""990000958680205171""",printing,E7_Activity,1540,,,True,False
"""990000958680205171""",manuscript production,E7_Activity,1294,,,True,False
"""990000958680205171""",censoring,E7_Activity,1597,,,True,False
"""990000958680205171""",printed,E7_Activity,,אנטוורפן,,False,True
"""990000958680205171""",printed,E7_Activity,,באשיליאה,,False,True
"""990000958680205171""",produced,E7_Activity,,אורבינו,,False,True
"""990000958680205171""",resided,E7_Activity,,ויניציאה,,False,True
"""990000958680205171""",owned,E7_Activity,,וולטירא,,False,True
"""990025916610205171""",manuscript production,E7_Activity,"אתתק""ל",,,True,False
"""990025916610205171""",active,E7_Activity,,תנעם,,False,True
"""990001313900205171""",manuscript production,E7_Activity,"אתתקפ""ז",,,True,False
"""990001313900205171""",produced,E7_Activity,,בירא דמיא,,False,True
"""990001313900205171""",acquired,E7_Activity,,ירושלים,,False,True
"""990000893610205171""",manuscript production,E7_Activity,"תט""ו",,,True,False
"""990000893610205171""",produced,E7_Activity,,רייו,,False,True
"""990001078470205171""",censoring,E7_Activity,1620,,,True,False
"""990001078470205171""",manuscript production,E7_Activity,שעז,,,True,False
"""990001078470205171""",mentioned,E7_Activity,,מודינא,,False,True
"""990001078470205171""",owned,E7_Activity,,ניו יורק,,False,True
"""990002078620205171""",manuscript production,E7_Activity,"ת""י-תנ""ג",,,True,False
"""990000792030205171""",manuscript production,E7_Activity,טו למנחם צ'ה'ל'י' ו'ר'נ'י' ה' ושבת ציון,,,True,False
"""990000792030205171""",produced,E7_Activity,,עיר ברזל הקרובה לעיר וינה שבמדינת הגריאה,,False,True
"""990000792030205171""",active,E7_Activity,,קנדיה,,False,True
"""990000792030205171""",active,E7_Activity,,פראג,,False,True
"""990000792030205171""",resided,E7_Activity,,פורטוגאל,,False,True
"""990000792030205171""",resided,E7_Activity,,הולנדה,,False,True
"""990000792030205171""",active,E7_Activity,,ראטרדאם,,False,True
"""990000792030205171""",active,E7_Activity,,אמשטרדם,,False,True
"""990001625570205171""",manuscript production,E7_Activity,"תמוז שס""ד",,,True,False
"""990001625570205171""",manuscript production,E7_Activity,"אב שס""ד",,,True,False
"""990001625570205171""",active,E7_Activity,,וורמיזא,,False,True
"""990000633510205171""",unclassified,E7_Activity,,גאליפולי,,False,True
"""990000633510205171""",unclassified,E7_Activity,,מרודיש,,False,True
"""990000633510205171""",unclassified,E7_Activity,,קושטאנדינה,,False,True
"""990001785380205171""",manuscript production,E7_Activity,"תמ""ו",,,True,False
"""990001785380205171""",produced,E7_Activity,,פוסאנו,,False,True
"""990001785380205171""",owned,E7_Activity,,מנטובה,,False,True
"""990000943910205171""",work creation,E7_Activity,1600,,,True,False
"""990001119980205171""",manuscript production,E7_Activity,5453,,,True,False
"""990001119980205171""",produced,E7_Activity,,Amsterdam,,False,True
"""990000856010205171""",manuscript production,E7_Activity,"שצ""ו",,,True,False
"""990000856010205171""",produced,E7_Activity,,קנדיאה,,False,True
"""990000856010205171""",mentioned,E7_Activity,,חברון,,False,True
"""990000856010205171""",mentioned,E7_Activity,,צפת,,False,True
"""990000856010205171""",mentioned,E7_Activity,,ירושלם,,False,True
"""990000856010205171""",active,E7_Activity,,מצרים,,False,True
"""990001086690205171""",manuscript production,E7_Activity,1450,,,True,False
"""990001086690205171""",custom of,E7_Activity,,קרפנטרץ,,False,True
"""990001827620205171""",manuscript production,E7_Activity,1644,,,True,False
"""990001827620205171""",family records,E7_Activity,1802,,,True,False
"""990001827620205171""",sale,E7_Activity,1771,,,True,False
